2k_lrr_CUDA_NQU, start_time:1462769763, end_time:1462769767, run_time:4, exit_point:2, kernel_count:1

2k_swl2_CUDA_NQU, start_time:1462769754, end_time:1462769758, run_time:4, exit_point:2, kernel_count:1
2k_swl4_CUDA_NQU, start_time:1462769755, end_time:1462769759, run_time:4, exit_point:2, kernel_count:1
2k_swl8_CUDA_NQU, start_time:1462769756, end_time:1462769760, run_time:4, exit_point:2, kernel_count:1
2k_swl16_CUDA_NQU, start_time:1462769757, end_time:1462769761, run_time:4, exit_point:2, kernel_count:1
4k_swl1_CUDA_NQU, start_time:1462769758, end_time:1462769763, run_time:5, exit_point:2, kernel_count:1
4k_swl2_CUDA_NQU, start_time:1462769759, end_time:1462769763, run_time:4, exit_point:2, kernel_count:1
4k_swl4_CUDA_NQU, start_time:1462769760, end_time:1462769764, run_time:4, exit_point:2, kernel_count:1
4k_swl8_CUDA_NQU, start_time:1462769761, end_time:1462769765, run_time:4, exit_point:2, kernel_count:1
4k_swl16_CUDA_NQU, start_time:1462769762, end_time:1462769766, run_time:4, exit_point:2, kernel_count:1
2k_gto_CUDA_NQU, start_time:1462769764, end_time:1462769768, run_time:4, exit_point:2, kernel_count:1
2k_twolevel301_CUDA_NQU, start_time:1462769765, end_time:1462769769, run_time:4, exit_point:2, kernel_count:1
2k_twolevel601_CUDA_NQU, start_time:1462769766, end_time:1462769770, run_time:4, exit_point:2, kernel_count:1
2k_twolevel1201_CUDA_NQU, start_time:1462769767, end_time:1462769771, run_time:4, exit_point:2, kernel_count:1
4k_lrr_CUDA_NQU, start_time:1462769768, end_time:1462769772, run_time:4, exit_point:2, kernel_count:1
4k_gto_CUDA_NQU, start_time:1462769769, end_time:1462769773, run_time:4, exit_point:2, kernel_count:1
4k_twolevel301_CUDA_NQU, start_time:1462769770, end_time:1462769774, run_time:4, exit_point:2, kernel_count:1
4k_twolevel601_CUDA_NQU, start_time:1462769771, end_time:1462769775, run_time:4, exit_point:2, kernel_count:1
4k_twolevel1201_CUDA_NQU, start_time:1462769772, end_time:1462769776, run_time:4, exit_point:2, kernel_count:1
2k_twolevel301_CUDA_SCP, start_time:1462769826, end_time:1462769932, run_time:106, exit_point:2, kernel_count:1
2k_twolevel601_CUDA_SCP, start_time:1462769827, end_time:1462769937, run_time:110, exit_point:2, kernel_count:1
2k_lrr_CUDA_SCP, start_time:1462769824, end_time:1462769944, run_time:120, exit_point:2, kernel_count:1
2k_twolevel1201_CUDA_SCP, start_time:1462769828, end_time:1462769948, run_time:120, exit_point:2, kernel_count:1
2k_gto_CUDA_SCP, start_time:1462769825, end_time:1462769951, run_time:126, exit_point:2, kernel_count:1
4k_lrr_CUDA_SCP, start_time:1462769829, end_time:1462769953, run_time:124, exit_point:2, kernel_count:1
2k_lrr_CUDA_BFS, start_time:1462769949, end_time:1462769955, run_time:6, exit_point:2, kernel_count:1
2k_twolevel601_CUDA_BFS, start_time:1462769952, end_time:1462769958, run_time:6, exit_point:2, kernel_count:1
2k_lrr_CUDA_BFS, start_time:1462769949, end_time:1462769960, run_time:11, exit_point:2, kernel_count:2
4k_lrr_CUDA_BFS, start_time:1462769954, end_time:1462769960, run_time:6, exit_point:2, kernel_count:1
2k_twolevel601_CUDA_BFS, start_time:1462769952, end_time:1462769963, run_time:11, exit_point:2, kernel_count:2
4k_lrr_CUDA_BFS, start_time:1462769954, end_time:1462769965, run_time:11, exit_point:2, kernel_count:2
2k_lrr_CUDA_BFS, start_time:1462769949, end_time:1462769966, run_time:17, exit_point:2, kernel_count:3
1
2k_twolevel601_CUDA_BFS, start_time:1462769952, end_time:1462769969, run_time:17, exit_point:2, kernel_count:3
